"","query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"1241","1800 BRUCE PLACE SE WASHINGTON, DC 20020 UNITED STATES",38.850603,-76.979684,38.850553,38.850653,-76.979734,-76.979634
"1242","4700 3RD PLACE NW WASHINGTON, DC 20011 UNITED STATES",38.947613,-77.016622,38.947563,38.947663,-77.016672,-77.016572
"1243","4200 6TH STREET SE WASHINGTON, DC 20032 UNITED STATES",38.829082,-76.998391,38.829032,38.829132,-76.998441,-76.998341
"1244","300 37TH STREET SE WASHINGTON, DC 20019 UNITED STATES",38.88560445,-76.9527091624161,38.8855297,38.8856816,-76.9528684,-76.9525499
"1245","1200 MEIGS PLACE NE WASHINGTON, DC 20002 UNITED STATES",38.908341,-76.986096,38.908291,38.908391,-76.986146,-76.986046
"1246","4600 LIVINGSTON ROAD SE WASHINGTON, DC 20032 UNITED STATES",38.8239036,-77.0030868,38.8238536,38.8239536,-77.0031368,-77.0030368
"1247","1000 MOUNT OLIVET ROAD NE WASHINGTON, DC 20002 UNITED STATES",38.91241385,-76.9883388195935,38.9119582,38.9128945,-76.9891843,-76.9881928
"1248","900 BLADENSBURG ROAD NE WASHINGTON, DC 20002 UNITED STATES",38.90207195,-76.9823890066983,38.9019875,38.9021554,-76.9825127,-76.9822653
"1249","1000 MOUNT OLIVET ROAD NE WASHINGTON, DC 20002 UNITED STATES",38.91241385,-76.9883388195935,38.9119582,38.9128945,-76.9891843,-76.9881928
"1250","700 COLUMBIA ROAD NW WASHINGTON, DC 20001 UNITED STATES",38.928747,-77.01841,38.92865,38.929148,-77.0193893,-77.0179452
"1251","700 COLUMBIA ROAD NW WASHINGTON, DC 20001 UNITED STATES",38.928747,-77.01841,38.92865,38.929148,-77.0193893,-77.0179452
"1252","1800 BRUCE PLACE SE WASHINGTON, DC 20020 UNITED STATES",38.850603,-76.979684,38.850553,38.850653,-76.979734,-76.979634
"1253","1800 BRUCE PLACE SE WASHINGTON, DC 20020 UNITED STATES",38.850603,-76.979684,38.850553,38.850653,-76.979734,-76.979634
"1254","1800 BRUCE PLACE SE WASHINGTON, DC 20020 UNITED STATES",38.850603,-76.979684,38.850553,38.850653,-76.979734,-76.979634
"1255","UNIT DUPONT CIRCLE NW WASHINGTON, DC 20036 UNITED STATES",38.9093878,-77.0427188,38.9093073,38.9095008,-77.0427754,-77.0426695
"1256","3200 MINNESOTA AVE SE",38.8787505,-76.9611932,38.8787005,38.8788005,-76.9612432,-76.9611432
"1257","1300 16TH ST NW",28.0339684833827,-81.7455239224374,28.033918483383,28.034018483383,-81.745573922437,-81.745473922437
"1258","1100 1ST ST NE",38.903978,-77.006211,38.903928,38.904028,-77.006261,-77.006161
"1259","3200 MINNESOTA AVE SE",38.8787505,-76.9611932,38.8787005,38.8788005,-76.9612432,-76.9611432
"1260","1000 WISCONSIN AVE NW",38.9028012,-77.0629136,38.9027512,38.9028512,-77.0629636,-77.0628636
"1261","1300 U ST NW",38.916917,-77.029779,38.916867,38.916967,-77.029829,-77.029729
"1262","3700 MINNESOTA AVE NE",38.8904737,-76.9529804,38.8904237,38.8905237,-76.9530304,-76.9529304
"1263","300 KENNEDY ST NW",38.9563404,-77.01629,38.9562904,38.9563904,-77.01634,-77.01624
"1264","E ST NW",42.679257,-75.492858,42.678012,42.680908,-75.492881,-75.492839
"1265","200 H ST NE",38.900289,-77.003408,38.900239,38.900339,-77.003458,-77.003358
"1266","1300 U ST NW",38.916917,-77.029779,38.916867,38.916967,-77.029829,-77.029729
"1267","1800 COLUMBIA RD NW",38.92217675,-77.0428726078441,38.9220852,38.9222527,-77.0430778,-77.0426609
"1268","1500 CONSTITUTION AVE NW",38.8920031425456,-77.0334440625504,38.891953142546,38.892053142546,-77.03349406255,-77.03339406255
"1269","13TH & L ST SE",40.7507365,-73.8406367843219,40.7506587,40.7508358,-73.8407382,-73.8405271
